Step,Queue Length,Counters,Thresholds
93,Queue Length: 7,Counters: [20 20 20 20 20 20 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
94,Queue Length: 7,Counters: [21 21 21 21 21 21 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
95,Queue Length: 7,Counters: [22 22 22 22 22 22 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
96,Queue Length: 7,Counters: [23 23 23 23 23 23 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
97,Queue Length: 7,Counters: [24 24 24 24 24 24 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
98,Queue Length: 8,Counters: [25 25 25 25 25 25 1 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
99,Queue Length: 8,Counters: [26 26 26 26 26 26 2 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
100,Queue Length: 8,Counters: [27 27 27 27 27 27 3 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
101,Queue Length: 7,Counters: [28 28 28 28 28 28 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
102,Queue Length: 8,Counters: [29 29 29 29 29 29 1 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
103,Queue Length: 7,Counters: [30 30 30 30 30 30 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
104,Queue Length: 7,Counters: [31 31 31 31 31 31 0 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
105,Queue Length: 8,Counters: [32 32 32 32 32 32 1 0 0 0 0 0 ],Thresholds: [0 0 600 300 150 75 37 18 9 4 2 1 ]
