Iteration,File,Buffer Size,Jitter Magnitude,Policy,Base Length for Thresholding,Threshold,Decay,Average Queue Size,Std Dev Queue Size,Average Frame Time,Std Dev Frame Time,Interrupt Count,Interrupts Magnitude(ms),Interrupt Mag (ms/s),Std Interrupt Mag,Interrupt Frequency (/s)
65,jitter_values_20250226_172604.csv,2,20,E-Policy,3,600,2,2.759377859103385,0.5790603597147491,16.68275660262275,1.7870367237940854,1,35.4057,0.03472198537580844,0.0,0.016754755374199536
66,jitter_values_20250226_172728.csv,2,20,E-Policy,3,600,2,3.378815628815629,0.7882514816752958,16.69715805860806,1.869041786960297,1,33.6658,0.005570903440889648,0.0,0.016756310241918586
67,jitter_values_20250226_172852.csv,2,20,E-Policy,3,600,2,3.559182428309945,0.6205755469173418,16.694343075045758,1.8063596676864182,2,"49.3854, 39.7246",0.37597685072237624,4.830399999999997,0.033504548319507665
68,jitter_values_20250226_173016.csv,2,20,E-Policy,3,600,2,3.0030497102775238,0.5326352179883492,16.695497407746267,1.6586706795924953,0,,0.0,0.0,0.0
69,jitter_values_20250226_173141.csv,2,20,E-Policy,3,600,2,2.9341061622940816,0.828940765380782,16.6944081757169,1.8331083924160951,0,,0.0,0.0,0.0
70,jitter_values_20250226_173305.csv,2,20,E-Policy,3,600,2,2.867337602927722,0.49007596666597236,16.688960048795366,1.7083131709902863,1,49.4121,0.2693459511631154,0.0,0.016751655640931357
71,jitter_values_20250226_173429.csv,2,0,E-Policy,3,600,2,1.974077462641049,0.5242143324623093,16.684389966453185,1.8530831545693234,1,34.2645,0.015597396805920908,0.0,0.01675039338412372
72,jitter_values_20250226_173552.csv,2,0,E-Policy,3,600,2,2.8299236641221373,0.9277944434497779,16.704778290076337,1.70589980519353,0,,0.0,0.0,0.0
73,jitter_values_20250226_173716.csv,2,0,E-Policy,3,600,2,1.024397682220189,0.1764404548650652,16.680432265934737,1.6436416621901153,0,,0.0,0.0,0.0
74,jitter_values_20250226_173840.csv,2,0,E-Policy,3,600,2,2.796646341463415,0.40931629846800816,16.68771737804878,1.7536727665834977,0,,0.0,0.0,0.0
75,jitter_values_20250226_174004.csv,2,0,E-Policy,3,600,2,4.292392300641613,1.6445416652052203,16.714960586617785,1.711491464210293,0,,0.0,0.0,0.0
76,jitter_values_20250226_174127.csv,2,0,E-Policy,3,600,2,1.9960353766392194,0.06284989889753766,16.67986416590424,1.440202875883576,0,,0.0,0.0,0.0
77,jitter_values_20250226_174251.csv,2,0,E-Policy,3,600,2,2.935286935286935,0.7764237511224935,16.694916300366298,1.7484659820460864,0,,0.0,0.0,0.0
78,jitter_values_20250226_174415.csv,2,0,E-Policy,3,600,2,2.207812023191944,0.7874705669647996,16.695417332926457,1.7129241059040374,1,34.6807,0.022575819764044096,0.0,0.016755521338703873
79,jitter_values_20250226_174538.csv,2,0,E-Policy,3,600,2,1.3014324900944834,0.6209952837731235,16.682952575434317,1.9939868300398014,0,,0.0,0.0,0.0
80,jitter_values_20250226_174702.csv,2,0,E-Policy,3,600,2,2.846294602012809,0.3852578035188841,16.684213144251295,1.623953899075337,1,35.6305,0.03847920711361557,0.0,0.01675072986175819
81,jitter_values_20250226_174826.csv,2,0,E-Policy,3,600,2,3.7115384615384617,1.4038555248683764,16.704188125763125,1.8314657478032497,1,38.971,0.09449222621554478,0.0,0.01676087696850875
82,jitter_values_20250226_174950.csv,2,0,E-Policy,3,600,2,2.493292682926829,0.7019887314091527,16.684172469512195,2.4092469519932838,0,,0.0,0.0,0.0
83,jitter_values_20250226_175113.csv,2,0,E-Policy,3,600,2,1.847958561852529,0.38689730188770904,16.683947379646554,1.7460085351970478,1,36.2317,0.04851030844404451,0.0,0.016737123070048637
84,jitter_values_20250226_175237.csv,2,0,E-Policy,3,600,2,2.150350716681915,0.36922370316130687,16.685238944800243,1.70252809819647,0,,0.0,0.0,0.0
85,jitter_values_20250226_175401.csv,2,0,E-Policy,3,600,2,2.13418725221104,0.3557929937065881,16.682680725831045,1.7494553140412858,0,,0.0,0.0,0.0
86,jitter_values_20250226_175524.csv,2,0,E-Policy,3,600,2,2.0966463414634147,0.3115951295844586,16.685420731707318,1.7905414111171392,0,,0.0,0.0,0.0
87,jitter_values_20250226_175648.csv,2,0,E-Policy,3,600,2,2.836790726052471,0.3833914788724954,16.68585067114094,1.5770705008627044,1,38.7758,0.09118487011229327,0.0,0.01675432976747918
88,jitter_values_20250226_175812.csv,2,0,E-Policy,3,600,2,2.674489484913136,0.7466091579412325,16.687129716549833,1.7318978372051994,1,33.749,0.006960096172038462,0.0,0.01674444427025168
89,jitter_values_20250226_175935.csv,2,0,E-Policy,3,600,2,1.8396341463414634,0.36865918500162964,16.68485237804878,1.6185381027006138,0,,0.0,0.0,0.0
90,jitter_values_20250226_180059.csv,2,0,E-Policy,3,600,2,1.9688929551692589,0.5363046341344072,16.68595535224154,2.0266519125488873,0,,0.0,0.0,0.0
91,jitter_values_20250226_180223.csv,2,0,E-Policy,3,600,2,3.024405125076266,0.5384364591720462,16.687763056741915,1.7897686611595292,0,,0.0,0.0,0.0
